edge_id,timestamp_i,timestamp_j,correspondence_success,correspondence_failure_reason,detector_type,keypoint_count_i,keypoint_count_j,raw_match_count,filtered_match_count,inlier_match_count,inlier_ratio,median_match_displacement,p90_match_displacement,match_angle_median,match_angle_dispersion,parallax_proxy,low_parallax_flag,near_static_flag,image_difference_mean,image_difference_p90,flow_success,flow_failure_reason,tracked_point_count,valid_flow_count,median_flow_magnitude,p90_flow_magnitude,flow_angle_median,flow_angle_dispersion,forward_backward_flow_consistency,gt_tmag
208,1745407695.361802,1745407695.413312,True,,ORB,1177,1175,1177,1018,1018,1.0,0.0,1.224197268486023,0.0,18.463674545288086,0.014929527416825294,True,True,0.003719113999977708,0.007843137718737125,True,,584,584,0.014929527416825294,0.8936111330986023,0.0,82.40281677246094,1.0,0.005617809537971434
209,1745407695.413312,1745407695.464566,True,,ORB,1175,1176,1175,898,846,0.9420935412026726,0.0,2.4883315563201904,0.0,36.515438079833984,0.6008557779138738,False,True,0.0140314232558012,0.03921568766236305,True,,553,550,0.6030486822128296,4.245372295379639,21.19762420654297,84.54898071289062,0.9963636363636363,0.005165414611348061
210,1745407695.464566,1745407695.514628,True,,ORB,1176,1176,1176,1176,1176,1.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,0.0,True,,529,529,0.0,0.0,0.0,0.0,1.0,0.006310278710613194
211,1745407695.514628,1745407695.564967,True,,ORB,1176,1175,1176,896,896,1.0,0.0,2.48834228515625,0.0,35.840484619140625,0.5622485719109309,False,True,0.014024127274751663,0.03921568766236305,True,,529,524,0.5633236169815063,4.203038692474365,28.134387969970703,78.2842025756836,0.9980916030534351,0.0037459301774201417
212,1745407695.564967,1745407695.615171,True,,ORB,1175,1175,1175,957,935,0.9770114942528736,0.0,1.697055697441101,0.0,11.676403999328613,0.07920787551654229,False,True,0.007113837171345949,0.019607843831181526,True,,579,579,0.07934491336345673,2.434252977371216,25.05455207824707,81.13086700439453,0.998272884283247,0.0037053746101786103
213,1745407695.615171,1745407695.665263,True,,ORB,1175,1170,1175,958,958,1.0,0.0,1.5947781801223755,0.0,18.563003540039062,0.06400992721319199,False,True,0.007418658118695021,0.019607843831181526,True,,521,521,0.06400992721319199,2.859179735183716,10.708148956298828,81.94566345214844,1.0,0.005301851997387164
214,1745407695.665263,1745407695.715863,True,,ORB,1170,1178,1170,887,839,0.9458850056369785,0.0,2.488311767578125,0.0,34.726688385009766,0.6431395203283389,False,True,0.013596431352198124,0.03921568766236305,True,,586,584,0.6453496217727661,4.229900360107422,26.00484848022461,83.01799774169922,0.9965753424657534,0.002573261839406098
215,1745407695.715863,1745407695.76647,True,,ORB,1178,1178,1178,1178,1178,1.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,0.0,True,,564,564,0.0,0.0,0.0,0.0,1.0,0.00426706253622752
216,1745407695.76647,1745407695.81747,True,,ORB,1178,1180,1178,903,865,0.9579180509413068,0.0,2.2360680103302,0.0,33.892696380615234,0.5774286354413888,False,True,0.013307521119713783,0.03921568766236305,True,,564,563,0.5794872045516968,4.2758331298828125,25.440631866455078,83.60646057128906,0.9964476021314387,0.004207960264888999
217,1745407695.81747,1745407695.868763,True,,ORB,1180,1180,1180,1180,1180,1.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,0.0,True,,553,553,0.0,0.0,0.0,0.0,1.0,0.0047000401748937635
218,1745407695.868763,1745407695.919556,True,,ORB,1180,1185,1180,869,869,1.0,0.0,2.268853187561035,0.0,31.84815216064453,0.6545165149902564,False,True,0.013145622797310352,0.03529411926865578,True,,553,553,0.6557022333145142,4.115151405334473,27.277395248413086,82.1155776977539,0.9981916817359855,0.0020197606843679367
219,1745407695.919556,1745407695.969703,True,,ORB,1185,1178,1185,937,916,0.9775880469583778,0.0,1.6970627307891846,0.0,17.874982833862305,0.435781866312027,False,True,0.010159486904740334,0.0313725508749485,True,,545,545,0.435781866312027,3.1441309452056885,26.034753799438477,80.4120101928711,1.0,0.0037177827890581216
220,1745407695.969703,1745407696.020667,True,,ORB,1178,1175,1178,999,999,1.0,0.0,1.1999969482421875,0.0,16.582347869873047,0.00669713185972765,True,True,0.003299498464912176,0.007843137718737125,True,,586,585,0.006720106583088636,0.9145835638046265,0.0,82.42570495605469,0.9965811965811966,0.0023856495296769135
221,1745407696.020667,1745407696.072085,True,,ORB,1175,1179,1175,874,829,0.948512585812357,0.0,2.350816011428833,0.0,35.46591567993164,0.7515749227197677,False,False,0.014142559841275215,0.03921568766236305,True,,580,579,0.7647836208343506,5.053549766540527,31.004600524902344,75.74626159667969,0.9827288428324698,0.003033158883102137
222,1745407696.072085,1745407696.122788,True,,ORB,1179,1179,1179,1179,1179,1.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,0.0,True,,578,578,0.0,0.0,0.0,0.0,1.0,0.004055553316555639
223,1745407696.122788,1745407696.173239,True,,ORB,1179,1179,1179,875,842,0.9622857142857143,0.0,2.0736083984375,0.0,33.14611053466797,0.6349010713812377,False,True,0.013422603718936443,0.03921568766236305,True,,578,576,0.6472619771957397,4.675077438354492,30.57839012145996,78.42721557617188,0.9809027777777778,0.004085444873530099
224,1745407696.173239,1745407696.224294,True,,ORB,1179,1182,1179,1019,1019,1.0,0.0,1.0,0.0,10.794584274291992,0.0006093326116444074,True,True,0.0029606507159769535,0.007843137718737125,True,,600,599,0.0006103515625,0.8496745228767395,0.0,56.20938491821289,0.998330550918197,0.0029628663961709816
225,1745407696.224294,1745407696.275151,True,,ORB,1182,1179,1182,953,911,0.9559286463798531,0.0,1.697049856185913,0.0,20.698144912719727,0.25896480480829875,False,True,0.010388539172708988,0.0313725508749485,True,,556,555,0.26084476709365845,3.8505563735961914,35.83903121948242,85.22885131835938,0.9927927927927928,0.0046412024971496275
226,1745407696.275151,1745407696.325367,True,,ORB,1179,1181,1179,1008,1008,1.0,0.0,1.199998140335083,0.0,10.972600936889648,0.06668264747907718,False,True,0.006540575530380011,0.019607843831181526,True,,600,600,0.06679397076368332,2.533684730529785,13.982128143310547,78.3305435180664,0.9983333333333333,0.005813025289152338
227,1745407696.325367,1745407696.375575,True,,ORB,1181,1179,1181,986,971,0.9847870182555781,0.0,1.20001220703125,0.0,16.091684341430664,0.03893982658632792,False,True,0.006784486584365368,0.019607843831181526,True,,527,527,0.03931281343102455,2.6269869804382324,21.64116096496582,87.53939819335938,0.9905123339658444,0.0023197643624313434
228,1745407696.375575,1745407696.425939,True,,ORB,1179,1179,1179,917,917,1.0,0.0,2.0,0.0,29.30413818359375,0.6803651075724781,False,True,0.01358854304999113,0.04313725605607033,True,,567,567,0.685198962688446,4.334766864776611,26.265920639038086,84.43193054199219,0.9929453262786596,0.004119312615440047
229,1745407696.425939,1745407696.476314,True,,ORB,1179,1179,1179,1179,1179,1.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,0.0,True,,600,600,0.0,0.0,0.0,0.0,1.0,0.005251096109290683
230,1745407696.476314,1745407696.526678,True,,ORB,1179,1176,1179,901,901,1.0,0.0,2.0,0.0,29.93313217163086,0.6748277262375629,False,True,0.014508407562971115,0.04313725605607033,True,,600,599,0.6793643832206726,4.915988445281982,23.896194458007812,84.2529296875,0.993322203672788,0.003334021312403753
231,1745407696.526678,1745407696.577504,True,,ORB,1176,1176,1176,1176,1176,1.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,0.0,True,,600,600,0.0,0.0,0.0,0.0,1.0,0.002032122400246425
232,1745407696.577504,1745407696.627743,True,,ORB,1176,1180,1176,858,836,0.9743589743589743,0.0,1.7280067205429077,0.0,28.257781982421875,0.686578850117271,False,True,0.014325215481221676,0.04313725605607033,True,,600,599,0.7018101215362549,4.651576519012451,30.715717315673828,77.78672790527344,0.9782971619365609,0.004402522694366621
